batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
55,3.2082242212451444,823.1386716223257,12.832896884980578,14132,220,55,17.70396170002641
56,3.231887527779444,827.6270346648258,12.927550111117776,14372,224,56,17.97321980004199
57,3.2311587522768637,827.1766405828771,12.924635009107455,14648,228,57,18.29891510005109
58,3.228876073311945,826.5922747678579,12.91550429324778,14920,232,58,18.64128060004441
59,3.2392277728615144,827.1268957968014,12.956911091446058,15168,236,59,18.922581700026058
60,3.223294382750578,825.6896141282705,12.893177531002312,15432,240,60,19.264133400050923
61,3.2175969616115645,825.0181270548509,12.870387846446258,15676,244,61,19.560291300003882
62,3.2172537246377786,826.5059160355174,12.869014898551114,15928,248,62,19.847774400026537
63,3.2158113964665325,824.8228087916608,12.86324558586613,16204,252,63,20.180693200032692
64,3.2257380931454716,822.102394024503,12.902952372581886,16428,256,64,20.459587900026236
65,3.224719982104265,820.5267089158363,12.89887992841706,16648,260,65,20.748741600022186
66,3.213224994046734,820.2248617456439,12.852899976186936,16920,264,66,21.075552300026175
67,3.2126609578406455,820.0808828708326,12.850643831362582,17176,268,67,21.350248600007035
68,3.1984899158892395,818.0301148147745,12.793959663556958,17448,272,68,21.688371900003403
69,3.1896402567490805,819.1516936924577,12.758561026996322,17748,276,69,22.013973299995996
70,3.188103444955227,817.7160019632099,12.752413779820907,17984,280,70,22.292552100028843
71,3.1853551878030264,814.6708410928067,12.741420751212106,18248,284,71,22.6284685000428
72,3.1726163788317026,816.0746293631587,12.69046551532681,18552,288,72,22.972577000036836
73,3.172610914721647,817.1091784446364,12.690443658886588,18840,292,73,23.298765300016385
74,3.159542076605832,815.0328948632186,12.638168306423328,19116,296,74,23.635057500039693
75,3.1592558433496416,815.732753674687,12.637023373398566,19372,300,75,23.90804820001358
76,3.163400412707114,815.2534777890905,12.653601650828456,19636,304,76,24.229645600018557
77,3.1636809427790897,813.7762163834213,12.654723771116359,19864,308,77,24.503502600011416
78,3.160869029717742,812.5368632311158,12.643476118870968,20084,312,78,24.788900100043975
79,3.1628055104765767,814.8419747807409,12.651222041906307,20344,316,79,25.11660780000966
80,3.1686105283858814,817.3721852815825,12.674442113543526,20604,320,80,25.440923600050155
81,3.1673436475896297,817.5624990757884,12.669374590358519,20836,324,81,25.728969899995718
82,3.1815342402145723,818.3685217074382,12.72613696085829,21072,328,82,26.000451900006738
83,3.183609106648795,816.8231365058908,12.73443642659518,21296,332,83,26.269025100045837
84,3.184313298062533,815.7040921894063,12.737253192250131,21528,336,84,26.541729799995665
85,3.187827858329935,818.6862401882429,12.75131143331974,21808,340,85,26.885943100031
86,3.2023766497200437,823.2068628545646,12.809506598880175,22068,344,86,27.215470600000117
87,3.2256344673237125,827.3423262311105,12.90253786929485,22292,348,87,27.48935630003689
88,3.2393467290092204,830.3305084970573,12.957386916036882,22556,352,88,27.834864200034644
89,3.2423738721403015,832.6945470819093,12.969495488561206,22812,356,89,28.106198400026187
90,3.2479258960617714,834.385534278073,12.991703584247086,23056,360,90,28.378101200039964
91,3.2615090684296746,836.8100409856709,13.046036273718698,23304,364,91,28.663148800027557
92,3.261570549658702,835.2283113697426,13.046282198634808,23576,368,92,28.990264300024137
93,3.2503036629425606,835.7923704709441,13.001214651770242,23876,372,93,29.31607709999662
94,3.250752866071184,836.1732474277796,13.003011464284736,24144,376,94,29.654665100038983
95,3.252768864731607,836.4262795024132,13.011075458926427,24412,380,95,29.980150300019886
96,3.2436868751174575,836.4740276323305,12.97474750046983,24676,384,96,30.313297800021246
97,3.244424063276332,836.9289828533232,12.977696253105329,24952,388,97,30.649014100024942
98,3.2328354744762717,835.5230295666838,12.931341897905087,25216,392,98,30.97951460001059
99,3.218961020540198,833.7765974019632,12.875844082160793,25496,396,99,31.319989100040402
100,3.23105808026909,836.6462229072289,12.92423232107636,25752,400,100,31.593827300006524
101,3.232059241511555,835.3224129490272,12.92823696604622,26016,404,101,31.92984290001914
