batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
62,6.252009016094092,1722.4922799442909,25.00803606437637,17324,248,62,10.516812400019262
63,6.255330195582009,1723.4072987827985,25.021320782328036,17656,252,63,10.675849399995059
64,6.253363974806427,1720.3131914365435,25.013455899225708,17872,256,64,10.826620500010904
65,6.241418924688185,1703.2704869577635,24.96567569875274,18084,260,65,10.99313990000519
66,6.253476182963337,1714.7286937611307,25.013904731853348,18404,264,66,11.145882200013148
67,6.240590240634849,1707.119828274888,24.962360962539396,18616,268,67,11.314528599992627
68,6.250869301363011,1709.9316758259142,25.003477205452043,18888,272,68,11.461734400014393
69,6.251356241307968,1707.0029899734818,25.00542496523187,19160,276,69,11.613500200008275
70,6.254659481981835,1713.01082139176,25.01863792792734,19420,280,70,11.76147040000069
71,6.227610944312737,1712.2117273832896,24.910443777250947,19692,284,71,11.937607800005935
72,6.255461879945204,1714.7625300290608,25.021847519780817,19972,288,72,12.084710199997062
73,6.252620837063223,1705.81704795635,25.01048334825289,20200,292,73,12.23579810000956
74,6.250449251029468,1711.3474928941089,25.001797004117872,20428,296,74,12.388761300011538
75,6.239172727449919,1727.6141952253163,24.956690909799676,20824,300,75,12.561057000013534
76,6.248895762746099,1725.7154583975555,24.995583050984397,21040,304,76,12.69843829999445
77,6.272358879284457,1719.3943768683434,25.08943551713783,21336,308,77,12.84959759999765
78,6.267301749826815,1711.3570900547506,25.06920699930726,21540,312,78,13.00108790001832
79,6.271624786242888,1728.920563521815,25.08649914497155,21884,316,79,13.158262200013269
80,6.247341214432519,1737.0158511311968,24.989364857730077,22216,320,80,13.327818100020522
81,6.26094091440192,1737.7305395074718,25.04376365760768,22536,324,81,13.479111199994804
82,6.2751015266667025,1749.3446296789216,25.10040610666681,22828,328,82,13.631256499997107
83,6.283981914657545,1745.1515488706098,25.13592765863018,23120,332,83,13.783428800001275
84,6.291716811017786,1744.7315924104016,25.166867244071145,23372,336,84,13.93780099999276
85,6.312181265451034,1754.5287517437366,25.248725061804137,23664,340,85,14.08667059999425
86,6.288067350200522,1757.578988333599,25.152269400802087,24060,344,86,14.276394899992738
87,6.294789514957883,1752.2638568168475,25.179158059831533,24276,348,87,14.41797320000478
88,6.29244486820294,1737.7421215616773,25.16977947281176,24500,352,88,14.577790300012566
89,6.293426084901232,1740.5818429098265,25.173704339604928,24720,356,89,14.748366000014357
90,6.2843233872106605,1750.8894465755088,25.137293548842642,25052,360,90,14.906730000016978
91,6.304599033867075,1753.4505231334795,25.2183961354683,25324,364,91,15.055972100002691
92,6.315593805594918,1748.2594771242748,25.26237522237967,25552,368,92,15.191672500019195
93,6.283690036203017,1735.8373128580415,25.134760144812066,25828,372,93,15.395405999996001
94,6.2832436483573755,1732.6364934000992,25.132974593429502,26108,376,94,15.558344200020656
95,6.293730832687187,1718.0600738372207,25.174923330748747,26316,380,95,15.730891500017606
96,6.324116140567652,1712.4157745520736,25.296464562270607,26552,384,96,15.870338600012474
97,6.3492452632818495,1718.7018198402134,25.396981053127398,26844,388,97,16.01995519999764
98,6.359228097169067,1729.190921768993,25.43691238867627,27164,392,98,16.173454100004165
99,6.355154708133836,1734.3087501462378,25.420618832535343,27420,396,99,16.325784200016642
100,6.348562896532542,1725.7726077921113,25.394251586130167,27660,400,100,16.493798400013475
